bottom_left_y,bottom_left_x,bottom_right_y,bottom_right_x,top_left_y,top_left_x,top_right_y,top_right_x,starbucks,seven11,gs25,olive0,mcdonalds,cu,total,total_x,total_y
37.4954795,126.8150248,37.4954795,126.8195214,37.5029509,126.8150248,37.5029509,126.8195214,0,0,0,0,0,0,,126.8150248,37.4954795
37.5477793,126.8150248,37.5477793,126.8195214,37.5552507,126.8150248,37.5552507,126.8195214,0,0,0,0,0,1,0.1,126.8150248,37.5477793
37.5552507,126.8150248,37.5552507,126.8195214,37.5627221,126.8150248,37.5627221,126.8195214,0,0,0,0,0,0,,126.8150248,37.5552507
37.5627221,126.8150248,37.5627221,126.8195214,37.5701935,126.8150248,37.5701935,126.8195214,0,1,0,1,0,0,0.2,126.8150248,37.5627221
37.5701935,126.8150248,37.5701935,126.8195214,37.5776649,126.8150248,37.5776649,126.8195214,1,0,1,0,0,0,0.2,126.8150248,37.5701935
37.5776649,126.8150248,37.5776649,126.8195214,37.5851363,126.8150248,37.5851363,126.8195214,0,0,0,0,0,0,,126.8150248,37.5776649
37.5851363,126.8150248,37.5851363,126.8195214,37.5926077,126.8150248,37.5926077,126.8195214,0,0,0,0,0,0,,126.8150248,37.5851363
37.5926077,126.8150248,37.5926077,126.8195214,37.6000791,126.8150248,37.6000791,126.8195214,0,0,0,0,0,0,,126.8150248,37.5926077
37.4954795,126.8195214,37.4954795,126.824018,37.5029509,126.8195214,37.5029509,126.824018,0,0,0,0,0,0,,126.8195214,37.4954795
37.5477793,126.8195214,37.5477793,126.824018,37.5552507,126.8195214,37.5552507,126.824018,0,0,0,0,0,0,,126.8195214,37.5477793
37.5552507,126.8195214,37.5552507,126.824018,37.5627221,126.8195214,37.5627221,126.824018,0,0,0,0,0,0,,126.8195214,37.5552507
37.5627221,126.8195214,37.5627221,126.824018,37.5701935,126.8195214,37.5701935,126.824018,0,1,0,0,0,0,0.1,126.8195214,37.5627221
37.5701935,126.8195214,37.5701935,126.824018,37.5776649,126.8195214,37.5776649,126.824018,0,0,0,0,0,0,,126.8195214,37.5701935
37.5776649,126.8195214,37.5776649,126.824018,37.5851363,126.8195214,37.5851363,126.824018,0,0,0,0,0,0,,126.8195214,37.5776649
37.5851363,126.8195214,37.5851363,126.824018,37.5926077,126.8195214,37.5926077,126.824018,0,0,0,0,0,0,,126.8195214,37.5851363
37.5926077,126.8195214,37.5926077,126.824018,37.6000791,126.8195214,37.6000791,126.824018,0,0,0,0,0,0,,126.8195214,37.5926077
37.4805367,126.824018,37.4805367,126.82851459999999,37.4880081,126.824018,37.4880081,126.82851459999999,0,0,0,0,0,0,,126.824018,37.4805367
37.4880081,126.824018,37.4880081,126.82851459999999,37.4954795,126.824018,37.4954795,126.82851459999999,0,0,0,0,0,0,,126.824018,37.4880081
37.4954795,126.824018,37.4954795,126.82851459999999,37.5029509,126.824018,37.5029509,126.82851459999999,0,0,0,0,0,0,,126.824018,37.4954795
37.5029509,126.824018,37.5029509,126.82851459999999,37.5104223,126.824018,37.5104223,126.82851459999999,0,0,0,0,0,0,,126.824018,37.5029509
37.5328365,126.824018,37.5328365,126.82851459999999,37.5403079,126.824018,37.5403079,126.82851459999999,0,2,0,0,0,0,0.2,126.824018,37.5328365
37.5403079,126.824018,37.5403079,126.82851459999999,37.5477793,126.824018,37.5477793,126.82851459999999,0,0,0,0,0,0,,126.824018,37.5403079
37.5477793,126.824018,37.5477793,126.82851459999999,37.5552507,126.824018,37.5552507,126.82851459999999,0,0,0,0,0,0,,126.824018,37.5477793
37.5552507,126.824018,37.5552507,126.82851459999999,37.5627221,126.824018,37.5627221,126.82851459999999,0,3,1,0,0,1,0.5,126.824018,37.5552507
37.5627221,126.824018,37.5627221,126.82851459999999,37.5701935,126.824018,37.5701935,126.82851459999999,1,0,0,1,0,2,0.4,126.824018,37.5627221
37.5701935,126.824018,37.5701935,126.82851459999999,37.5776649,126.824018,37.5776649,126.82851459999999,0,1,0,0,0,0,0.1,126.824018,37.5701935
37.5776649,126.824018,37.5776649,126.82851459999999,37.5851363,126.824018,37.5851363,126.82851459999999,0,0,0,0,0,0,,126.824018,37.5776649
37.5851363,126.824018,37.5851363,126.82851459999999,37.5926077,126.824018,37.5926077,126.82851459999999,0,0,0,0,0,0,,126.824018,37.5851363
37.4805367,126.8285146,37.4805367,126.8330112,37.4880081,126.8285146,37.4880081,126.8330112,0,0,0,0,0,0,,126.8285146,37.4805367
37.4880081,126.8285146,37.4880081,126.8330112,37.4954795,126.8285146,37.4954795,126.8330112,0,0,0,0,0,0,,126.8285146,37.4880081
37.4954795,126.8285146,37.4954795,126.8330112,37.5029509,126.8285146,37.5029509,126.8330112,0,0,0,0,0,0,,126.8285146,37.4954795
37.5029509,126.8285146,37.5029509,126.8330112,37.5104223,126.8285146,37.5104223,126.8330112,0,0,0,0,0,0,,126.8285146,37.5029509
37.5104223,126.8285146,37.5104223,126.8330112,37.5178937,126.8285146,37.5178937,126.8330112,0,0,0,1,0,0,0.1,126.8285146,37.5104223
37.5178937,126.8285146,37.5178937,126.8330112,37.5253651,126.8285146,37.5253651,126.8330112,0,0,0,0,0,0,,126.8285146,37.5178937
37.5253651,126.8285146,37.5253651,126.8330112,37.5328365,126.8285146,37.5328365,126.8330112,1,0,0,0,1,0,0.2,126.8285146,37.5253651
37.5328365,126.8285146,37.5328365,126.8330112,37.5403079,126.8285146,37.5403079,126.8330112,0,0,0,0,0,0,,126.8285146,37.5328365
37.5403079,126.8285146,37.5403079,126.8330112,37.5477793,126.8285146,37.5477793,126.8330112,0,0,0,0,0,0,,126.8285146,37.5403079
37.5477793,126.8285146,37.5477793,126.8330112,37.5552507,126.8285146,37.5552507,126.8330112,0,0,0,0,0,0,,126.8285146,37.5477793
37.5552507,126.8285146,37.5552507,126.8330112,37.5627221,126.8285146,37.5627221,126.8330112,0,2,0,0,0,1,0.3,126.8285146,37.5552507
37.5627221,126.8285146,37.5627221,126.8330112,37.5701935,126.8285146,37.5701935,126.8330112,0,0,1,0,0,0,0.1,126.8285146,37.5627221
37.5701935,126.8285146,37.5701935,126.8330112,37.5776649,126.8285146,37.5776649,126.8330112,0,0,0,0,0,0,,126.8285146,37.5701935
37.5776649,126.8285146,37.5776649,126.8330112,37.5851363,126.8285146,37.5851363,126.8330112,0,0,0,0,0,0,,126.8285146,37.5776649
37.5851363,126.8285146,37.5851363,126.8330112,37.5926077,126.8285146,37.5926077,126.8330112,0,0,0,0,0,0,,126.8285146,37.5851363
37.4805367,126.8330112,37.4805367,126.8375078,37.4880081,126.8330112,37.4880081,126.8375078,0,0,0,0,0,0,,126.8330112,37.4805367
