,지점명,지점주소
266,CU 대치동부점,서울 강남구 테헤란로78길 8
267,CU 용산푸르지오써밋점,서울 용산구 한강대로 69 1층 1동 1호
268,CU 잠원성한점,서울 서초구 강남대로 557
269,CU 답십리역점,서울 동대문구 천호대로 269
270,CU 효창공원역점,서울 용산구 원효로71길 30 용문빌딩
271,CU 종각역점,서울 종로구 우정국로 26
272,CU 풍림플러스점,서울 서초구 효령로77길 14
273,CU 용산한강진점,서울 용산구 이태원로54길 11
274,CU 서초한빛점,서울 서초구 반포대로21길 17
275,CU 중랑우림점,서울 중랑구 봉우재로 240 1층
276,CU 월곡씨티원점,서울 성북구 오패산로3길 164
277,CU 논현영동점,서울 강남구 도산대로12길 9
278,CU 월계서광점,서울 노원구 마들로1길 44
279,CU 올림픽광장점,서울 송파구 올림픽로 424 만남의광장 편익C동
280,CU 도림로점,서울 영등포구 도림로 291
281,CU 성수성문점,서울 성동구 성수이로 87 성문빌딩
282,CU 역삼태양점,서울 강남구 강남대로102길 28
283,CU 버티고개점,서울 중구 동호로17길 271
284,CU 방배중앙로점,서울 서초구 방배중앙로 18
285,CU 관악서림점,서울 관악구 서림3길 32
286,CU 답십리점,서울 동대문구 서울시립대로2길 60
287,CU 영등포메인점,서울 영등포구 영등포로 199
288,CU 강동천호대로점,서울 강동구 성내동 9-14
289,CU 서초캐슬점,서울 서초구 서초대로73길 50
290,CU 광화문광장점,서울 종로구 새문안로 103-1 1층
291,CU 마로니에공원점,서울 종로구 대학로12길 73 101호
292,CU 문래벤처점,서울 영등포구 선유로 70 문래동우리벤처타운21층 105
293,CU 수유빌리지점,서울 강북구 삼양로117길 14
294,CU 역삼테헤란점,서울 강남구 테헤란로33길 3-12 우리빌딩
295,CU 노원마들점,서울 노원구 동일로 1548
296,CU 동대입구역점,서울 중구 동호로24길 3
297,CU 홍대경의선숲길해달점,서울 마포구 양화로23길 42
298,CU 상도터널점,서울 동작구 양녕로 280-1 1층
299,CU 강남거평타운점,서울 강남구 봉은사로 129 1층
300,CU 관악남현점,서울 관악구 과천대로 945
301,CU 가락베스트점,서울 송파구 오금로36길 29
302,CU 중구창경궁로점,서울 중구 창경궁로 62
303,CU 부암럭키점,서울 종로구 백석동길 15
304,CU 까치산점,서울 강서구 강서로 57 중앙빌딩 1층
305,CU 송암빌딩큐브S점,서울 서초구 양재대로 246
306,CU 성수뚝섬점,서울 성동구 왕십리로14길 16
307,CU 백련산현대점,서울 은평구 백련산로2길 19
308,CU 굽은다리점,서울 강동구 양재대로 1549 삼정빌딩 105호
309,CU 녹번제일점,서울 은평구 진흥로 148
310,CU 노량진장미점,서울 동작구 만양로 105 1층우측2호
311,CU 자양승일점,서울 광진구 자양로5길 30 1층
312,CU 평창다솜점,서울 종로구 평창길 8
313,CU 합정비젼점,서울 마포구 양화로 32
314,CU 신림사거리점,서울 관악구 신림로 351 동산빌딩 1층
315,CU 자양사거리점,서울 광진구 자양로 96
316,CU 금호한신점,서울 성동구 금호산길 25
317,CU 경희궁자이행복점,서울 종로구 경교장길 35 1층 상가동 3101호
318,CU 화양공원점,서울 광진구 동일로24길 94
319,CU 동대문전농점,서울 동대문구 사가정로 148
320,CU 역삼우리점,서울 강남구 역삼로19길 14 노블스위트
321,CU 양재오피스점,서울 서초구 양재천로17길 26
322,CU 공릉라이프점,서울 노원구 섬밭로 125
323,CU 신내IC점,서울 중랑구 용마산로139가길 16
324,CU 신공덕펜트라우스점,서울 마포구 신공덕동 172 펜트라우스 상가 B224호
325,CU 용문좋아요점,서울 용산구 효창원로 79
326,CU 반포한신점,서울 서초구 사평대로28길 22
327,CU 성북센터피스점,서울 성북구 길음동 486-17 센터피스상가 1층
328,CU 상계아카시아점,서울 노원구 상계로9가길 23
329,CU 노량진청탑점,서울 동작구 노량진로 114
330,CU 보라매뷰점,서울 영등포구 신풍로23길 16
331,CU 방화오피스점,서울 강서구 개화동로27가길 33 에에팰리스 104호
332,CU 수색은혜점,서울 은평구 수색로22길 7
333,CU 광산사거리점,서울 강북구 한천로150길 16
334,CU 홍대으뜸점,서울 마포구 와우산로26길 9-19
335,CU 서대문연희점,서울 서대문구 연희로 81-21
336,CU 한남카페거리2호점,서울 용산구 이태원로54길 62
337,CU 연남Y빌딩점,서울 마포구 동교로23길 67
338,CU 하왕십리점,서울 성동구 왕십리로 363-1
339,CU 고덕래미안점,서울 강동구 아리수로50길 50
340,CU 공항대로점,서울 강서구 공항대로 549 1층
341,CU 창동쌍문점,서울 도봉구 도봉로118길 12 1층
342,CU 순복음드림점,서울 영등포구 은행로 54
343,CU 트윈시티남산타워점,서울 용산구 한강대로 366 지하1층 B07호
344,CU 논현한미점,서울 강남구 봉은사로 179
345,CU 광산사거리1호점,서울 강북구 한천로 1097
346,CU 당산역점,서울 영등포구 당산로 214 삼성래미안상가 110-2호
347,CU 청계상가점,서울 중구 청계천로 160
348,CU 강동풍차점,서울 강동구 양재대로113길 53
349,CU 왕십리한양점,서울 성동구 마조로1길 32 1층
350,CU 신정태화점,서울 양천구 중앙로32길 67
351,CU 남산트라팰리스점,서울 중구 소월로2길 30
352,CU 이태원프리덤점,서울 용산구 이태원로27길 13
353,CU 청담노아점,서울 강남구 압구정로80길 26
354,CU 공항단지점,서울 강서구 방화대로6바길 4
355,CU 삼성가멸점,서울 강남구 봉은사로73길 19
356,CU 성동성수점,서울 성동구 광나루로 290
357,CU 북가좌삼거리점,서울 서대문구 수색로 144
358,CU 풍납우성점,서울 송파구 토성로15길 3-3
359,CU 서초청동점,서울 서초구 서초대로50길 8 신우빌딩 1층
360,CU 동부이촌점,서울 용산구 이촌로 248
361,CU 촬영소사거리점,"서울 동대문구 답십리로 237 장수빌딩 105,106호"
362,CU 교대역점,서울 서초구 서초대로 332
363,CU 구의그린점,서울 광진구 자양로 194
364,CU 응암역촌점,서울 은평구 진흥로 13
365,CU 서강대점,서울 마포구 백범로 29
366,CU 신길도림점,서울 영등포구 도신로 120
367,CU 신정점,서울 양천구 신월로 338
368,CU 논현경복점,서울 강남구 봉은사로43길 14
