,지점명,지점주소
210,스타벅스 삼성역섬유센터R점,서울 강남구 테헤란로 518
211,스타벅스 송파사거리점,서울 송파구 송파대로 386
212,스타벅스 대우재단빌딩점,서울 중구 퇴계로 18
213,스타벅스 구로디지털타워점,서울 구로구 디지털로32길 30
214,스타벅스 구의역,서울 광진구 아차산로 373
215,스타벅스 문정로데오점,서울 송파구 동남로 141
216,스타벅스 인사점,서울 종로구 인사동길 14
217,스타벅스 신촌오거리점,서울 마포구 신촌로16길 10
218,스타벅스 월계역점,서울 노원구 초안산로2라길 26 104~106호
219,스타벅스 마포염리점,서울 마포구 독막로 311
220,스타벅스 도곡공원점,서울 강남구 도곡로 205
221,스타벅스 종암점,서울 성북구 종암로 122
222,스타벅스 상암사보이시티,서울 마포구 월드컵북로54길 17
223,스타벅스 상암디지털큐브점,서울 마포구 상암산로 34 1층
224,스타벅스 명일역점,서울 강동구 양재대로 1647
225,스타벅스 상수역점,서울 마포구 독막로 88
226,스타벅스 서초역점,서울 서초구 반포대로 118 1층
227,스타벅스 아시아선수촌점,서울 송파구 백제고분로 69 애플타워 175
228,스타벅스 효창공원앞역점,서울 용산구 효창동 287
229,스타벅스 당산점,서울 영등포구 양평로 64 1층
230,스타벅스 정부서울청사R점,서울 종로구 새문안로5가길 28
231,스타벅스 삼청동점,서울 종로구 삼청로 111-1 1층
232,스타벅스 숭실대점,서울 동작구 사당로 4
233,스타벅스 염창역점,서울 강서구 공항대로 627 대신빌딩 1층
234,스타벅스 여의도공원R점,서울 영등포구 여의공원로 101
235,스타벅스 국립중앙의료원점,서울 중구 을지로 251
236,스타벅스 상도역점,서울 동작구 상도로37길 1
237,스타벅스 혜화역점,"서울 종로구 대학로12길 4 1,2층"
238,스타벅스 논현역사거리점,서울 강남구 강남대로 538
239,스타벅스 남가좌사거리점,서울 서대문구 거북골로 84 104동
240,스타벅스 올림픽공원북문점,서울 강동구 강동대로 171 스타벅스
241,스타벅스 서교동사거리,서울 마포구 양화로 105
242,스타벅스 한티역점,서울 강남구 도곡로 408 디마크빌딩 101호
243,스타벅스 수유역점,서울 강북구 도봉로 342
244,스타벅스 올림픽평화의문점,서울 송파구 위례성대로 38
245,스타벅스 광나루,서울 광진구 아차산로 607
246,스타벅스 마포용강동점,서울 마포구 토정로 295
247,스타벅스 한성대입구역점,서울 성북구 성북로 11
248,스타벅스 학여울역점,서울 강남구 영동대로 215
249,스타벅스 서울교대점,서울 서초구 서초중앙로 64 1층
250,스타벅스 교대점,서울 서초구 서초중앙로 118 KAIS빌딩
251,스타벅스 신림역포도몰점,서울 관악구 신림로 330 포도몰 1층
252,스타벅스 대학로점,서울 종로구 대학로 57 홍익대학교 대학로캠퍼스 1층
253,스타벅스 남부터미널2점,서울 서초구 효령로 274
254,스타벅스 구로디지털로점,서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층
255,스타벅스 가락시장역점,서울 송파구 중대로 121 롯데캐슬 파인힐1층
256,스타벅스 미아역점,서울 강북구 도봉로 196 1층
257,스타벅스 내방역점,서울 서초구 방배로 184 1~2층
258,스타벅스 창동이마트점,서울 도봉구 노해로65길 4
259,스타벅스 송파아이파크,서울 송파구 법원로 55
260,스타벅스 우장산역점,"서울 강서구 강서로 267 송화쇼핑센터 1층,지하층"
261,스타벅스 중랑역점,서울 중랑구 망우로30길 3
262,스타벅스 여의도KBS R점,서울 영등포구 의사당대로 26
