,지점명,지점주소
322,GS25 개포소망점,"서울 강남구 개포로 508 소망빌딩 109호,110호"
323,GS25 S뚝섬유원지역점,서울 광진구 능동로 10 역사내
324,GS25 궁동상지점,서울 구로구 부일로15길 29
325,GS25 응암역점,서울 은평구 연서로 1 109호
326,GS25 신림본점,서울 관악구 남부순환로 1589
327,GS25 개화산역점,서울 강서구 양천로 25
328,GS25 온수역점,"서울 구로구 경인로3길 77 104,105호"
329,GS25 방배카페본점,서울 서초구 방배중앙로 166-1
330,GS25 용산하이엘점,서울 용산구 새창로 213-12
331,GS25 서울역서부점,서울 용산구 청파로 389
332,GS25 가리봉역점,서울 금천구 벚꽃로 286 107호
333,GS25 화곡호호점,서울 강서구 화곡로 197
334,GS25 문정파트너스점,서울 송파구 법원로 90 105호
335,GS25 강남나누리점,서울 강남구 언주로147길 10 1층
336,GS25 성산행복점,서울 마포구 성산로 124
337,GS25 광진구의점,서울 광진구 자양로18길 65
338,GS25 강서타워점,서울 영등포구 선유로 75 GS강서타워 지하1층
339,GS25 구로푸르뫼점,서울 구로구 고척로 85
340,GS25 길음뉴타운점,"서울 성북구 삼양로13길 45 111,112호"
341,GS25 양평본점,서울 영등포구 양평로30가길 19
342,GS25 봉은사점,서울 강남구 봉은사로 535 트리니티재활병원빌딩 1층
343,GS25 성산퍼스트점,서울 마포구 월드컵북로12길 19
344,GS25 북한산더샵점,서울 서대문구 홍은동 464-5 북한산더샵아파상가 1층 113호
345,GS25 평창파크팰리스점,서울 종로구 평창문화로 87
346,GS25 가락스타점,서울 송파구 송파대로30길 16 110호
347,GS25 화곡지연점,서울 강서구 초록마을로8길 82
348,GS25 강서로우장산점,서울 강서구 강서로46길 47 동산빌딩 1층
349,GS25 군자능동점,서울 광진구 능동로 275
350,GS25 신월보람점,서울 양천구 곰달래로7길 10
351,GS25 송파물류단지점,서울 송파구 탄천동로 740
352,GS25 연남하늘채점,서울 마포구 연남로 31
353,GS25 방배내방점,서울 서초구 서초대로 122
354,GS25 사당드림점,서울 동작구 동작대로7길 56 1층
355,GS25 중화금성점,서울 중랑구 동일로123나길 15
356,GS25 방배브라운점,서울 서초구 방배로 146
357,GS25 망원나래길점,서울 마포구 월드컵로11길 14
358,GS25 연남스타점,서울 마포구 성미산로19길 60
359,GS25 대치사거리점,서울 강남구 삼성로 349
360,GS25 노량제일점,서울 동작구 노량진로 148-3
361,GS25 쌍문스마트점,서울 도봉구 도봉로109길 8
362,GS25 논현보람점,서울 강남구 선릉로121길 15
363,GS25 외대2점,서울 동대문구 휘경로 10 1층
364,GS25 중계동진점,서울 노원구 중계로 205
365,GS25 남영역점,서울 용산구 한강대로 259
366,GS25 잠실엘스점,서울 송파구 올림픽로 119
367,GS25 상계동일점,서울 노원구 동일로227길 43 101~102호
368,GS25 대치타운점,서울 강남구 선릉로76길 25
369,GS25 휘경럭키점,서울 동대문구 전농로38길 89
370,GS25 삼성진우점,서울 강남구 봉은사로112길 18
371,GS25 역삼대홍점,서울 강남구 논현로63길 19
372,GS25 전농래미안점,서울 동대문구 사가정로 65
373,GS25 합정온누리점,서울 마포구 양화로11길 45
374,GS25 학동제일점,서울 강남구 학동로33길 7 이룸빌딩 1층
375,GS25 녹천역점,서울 도봉구 덕릉로66길 53 17단지 101
376,GS25 반포2점,서울 서초구 주흥길 12 1층
377,GS25 왕십리도선점,서울 성동구 왕십리로20길 8
378,GS25 휘경시립점,서울 동대문구 망우로18가길 76
379,GS25 영등포역점,서울 영등포구 경인로102길 4
380,GS25 동대문휘경점,서울 동대문구 망우로12가길 10
381,GS25 신림고시촌점,서울 관악구 신림로19길 46-8
382,GS25 용산한남점,서울 용산구 독서당로 77 2층
383,GS25 사가정미소점,서울 중랑구 용마산로51길 52
384,GS25 월곡역점,서울 성북구 화랑로 96
385,GS25 약수사랑점,서울 중구 다산로 101
386,GS25 홍제한빛점,서울 서대문구 통일로39길 34 1층
387,GS25 영등포병원점,서울 영등포구 당산로33길 9
388,GS25 신사진주점,서울 강남구 도산대로53길 10
389,GS25 문래한신점,"서울 영등포구 영등포로12길 11 상가101,102,103호"
390,GS25 수유빨래골점,서울 강북구 수유로 13
391,GS25 고대종암점,서울 성북구 북악산로27길 14 돌채빌딩 1층
392,GS25 종로익선점,서울 종로구 삼일대로30길 23
393,GS25 길동우성점,서울 강동구 양재대로116길 30
394,GS25 영등포구청점,서울 영등포구 당산로 95 현대상가116호
395,GS25 이문쌍용점,서울 동대문구 한천로58길 47 상가동 1층
396,GS25 동대문장안교점,서울 동대문구 사가정로 206 1층
397,GS25 고척으뜸점,서울 구로구 고척로 228-6
398,GS25 버티고개역점,서울 중구 다산로 41 1층 일부
399,GS25 난곡센터점,서울 관악구 난곡로30길 27
400,GS25 강남한티점,서울 강남구 선릉로62길 9 1층
401,GS25 압구정신구점,서울 강남구 압구정로34길 24
402,GS25 서울팔래스점,서울 서초구 사평대로 160
403,GS25 경희궁자이점,서울 종로구 송월길 155 경희궁자이 상가동 1층 4123호
404,GS25 동선행복점,서울 성북구 동소문로27길 31 벨라미아오피스텔 1층 101호
405,GS25 강서LG사이언스점,서울 강서구 마곡중앙10로 70 지하1층
406,GS25 용산전자회관점,서울 용산구 청파로 112 나진상가 15동 가열 1층 28호
407,GS25 화곡성당점,서울 강서구 강서로 132
408,GS25 상수로즈점,서울 마포구 와우산로 53
409,GS25 청담88점,서울 강남구 도산대로55길 22 지하 1층
410,GS25 마포허브점,서울 마포구 마포대로 204
411,GS25 목동프라자점,서울 양천구 목동동로 55 1층
412,GS25 종로신영점,서울 종로구 진흥로 484
413,GS25 구의강변점,서울 광진구 구의강변로 64 대림아크로리버상가 102호
414,GS25 논현행운점,서울 강남구 강남대로150길 11
415,GS25 일원대청점,서울 강남구 일원로3길 54
416,GS25 국일관점,"서울 종로구 수표로 96 국일관드림팰리스빌딩 1층 1,2호"
417,GS25 동교타운점,서울 마포구 동교로25길 15 1층
418,GS25 방배효령점,서울 서초구 효령로 50 서천빌딩 지하1층
419,GS25 상수홍대점,서울 마포구 와우산로 21
420,GS25 청담칼릭스점,서울 강남구 도산대로89길 12
421,GS25 연남공원점,서울 마포구 동교로29길 32
422,GS25 서교미리내점,서울 마포구 월드컵로14길 29 1층
423,GS25 연희성산점,서울 서대문구 성산로 317 1층 102호
424,GS25 마포한우물점,서울 마포구 월드컵로16길 3
425,GS25 면목행복점,서울 중랑구 면목로54길 45 1층
426,GS25 노원상계로점,서울 노원구 상계로 97 1층 107호
427,GS25 양평한신점,서울 영등포구 양평로24길 8
428,GS25 성북구청점,서울 성북구 보문로 164
429,GS25 구로싸이언점,서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 116호
430,GS25 송파세원점,서울 송파구 백제고분로42길 24
431,GS25 강남시티힐점,서울 강남구 강남대로98길 17
